sample_id,timestep,feature,shap_value
0,18,return_1d,-0.02048724703490734
0,18,KAMA_10,0.0
0,18,SMA_20,0.0
0,18,HCL3,0.0
0,18,EMA_20,0.0
0,18,HMA_20,0.0
0,18,ATR_14,0.0
0,18,BBL_20,0.0
0,18,OBV,0.0
0,18,PVT,0.0
0,19,close_log,0.0
0,19,return_1d,0.0024681442882865667
0,19,KAMA_10,0.0
0,19,SMA_20,0.0
0,19,HCL3,0.0
0,19,EMA_20,0.0
0,19,HMA_20,0.0
0,19,ATR_14,0.0
0,19,BBL_20,0.0
0,19,OBV,0.0
0,19,PVT,0.0
0,20,close_log,0.0
0,20,return_1d,-0.0024200640618801117
0,20,KAMA_10,0.0
0,20,SMA_20,0.0
0,20,HCL3,0.0
0,20,EMA_20,0.0
0,20,HMA_20,0.0
0,20,ATR_14,0.0
0,20,BBL_20,0.0
0,20,OBV,0.0
0,20,PVT,0.0
0,21,close_log,0.0
0,21,return_1d,0.0007875013980083168
0,21,KAMA_10,0.0
0,21,SMA_20,0.0
0,21,HCL3,0.0
0,21,EMA_20,0.0
0,21,HMA_20,0.0
0,21,ATR_14,0.0
0,21,BBL_20,0.0
0,21,OBV,0.0
0,21,PVT,0.0
0,22,close_log,0.0
0,22,return_1d,-0.001243842882104218
0,22,KAMA_10,0.0
0,22,SMA_20,0.0
0,22,HCL3,0.0
0,22,EMA_20,0.0
0,22,HMA_20,0.0
0,22,ATR_14,0.0
0,22,BBL_20,0.0
0,22,OBV,0.0
0,22,PVT,0.0
0,23,close_log,0.0
0,23,return_1d,0.002217147033661604
0,23,KAMA_10,0.0
0,23,SMA_20,0.0
0,23,HCL3,0.0
0,23,EMA_20,0.0
0,23,HMA_20,0.0
0,23,ATR_14,0.0
0,23,BBL_20,0.0
0,23,OBV,0.0
0,23,PVT,0.0
0,24,close_log,0.0
0,24,return_1d,0.00041573389898985624
0,24,KAMA_10,0.0
0,24,SMA_20,0.0
0,24,HCL3,0.0
0,24,EMA_20,0.0
0,24,HMA_20,0.0
0,24,ATR_14,0.0
0,24,BBL_20,0.0
0,24,OBV,0.0
0,24,PVT,0.0
0,25,close_log,0.0
0,25,return_1d,-0.0030088936910033226
0,25,KAMA_10,0.0
0,25,SMA_20,0.0
0,25,HCL3,0.0
0,25,EMA_20,0.0
0,25,HMA_20,0.0
0,25,ATR_14,0.0
0,25,BBL_20,0.0
0,25,OBV,0.0
0,25,PVT,0.0
0,26,close_log,0.0
0,26,return_1d,0.009018299169838428
0,26,KAMA_10,0.0
0,26,SMA_20,0.0
0,26,HCL3,0.0
0,26,EMA_20,0.0
0,26,HMA_20,0.0
0,26,ATR_14,0.0
0,26,BBL_20,0.0
0,26,OBV,0.0
0,26,PVT,0.0
0,27,close_log,0.0
0,27,return_1d,0.0717875137925148
0,27,KAMA_10,0.0
0,27,SMA_20,0.0
0,27,HCL3,0.0
0,27,EMA_20,0.0
0,27,HMA_20,0.0
0,27,ATR_14,0.0
0,27,BBL_20,0.0
0,27,OBV,0.0
0,27,PVT,0.0
0,28,close_log,0.0
0,28,return_1d,-0.006572934798896313
0,28,KAMA_10,0.0
0,28,SMA_20,0.0
0,28,HCL3,0.0
0,28,EMA_20,0.0
0,28,HMA_20,0.0
0,28,ATR_14,0.0
0,28,BBL_20,0.0
0,28,OBV,0.0
0,28,PVT,0.0
0,29,close_log,0.0
0,29,return_1d,-0.00035770246176980436
0,29,KAMA_10,0.0
0,29,SMA_20,0.0
0,29,HCL3,0.0
0,29,EMA_20,0.0
0,29,HMA_20,0.0
0,29,ATR_14,0.0
0,29,BBL_20,0.0
0,29,OBV,0.0
0,29,PVT,0.0
1,0,close_log,0.0
1,0,return_1d,0.002912819618359208
1,0,KAMA_10,0.0
1,0,SMA_20,0.0
1,0,HCL3,0.0
1,0,EMA_20,0.0
1,0,HMA_20,0.0
1,0,ATR_14,0.0
1,0,BBL_20,0.0
1,0,OBV,0.0
1,0,PVT,0.0
1,1,close_log,0.0
1,1,return_1d,0.004608890041708946
1,1,KAMA_10,0.0
1,1,SMA_20,0.0
1,1,HCL3,0.0
1,1,EMA_20,0.0
1,1,HMA_20,0.0
1,1,ATR_14,0.0
1,1,BBL_20,0.0
1,1,OBV,0.0
1,1,PVT,0.0
1,2,close_log,0.0
1,2,return_1d,0.015053609386086464
1,2,KAMA_10,0.0
1,2,SMA_20,0.0
1,2,HCL3,0.0
1,2,EMA_20,0.0
1,2,HMA_20,0.0
1,2,ATR_14,0.0
1,2,BBL_20,0.0
1,2,OBV,0.0
1,2,PVT,0.0
1,3,close_log,0.0
1,3,return_1d,0.00021249557903502136
1,3,KAMA_10,0.0
1,3,SMA_20,0.0
1,3,HCL3,0.0
1,3,EMA_20,0.0
1,3,HMA_20,0.0
1,3,ATR_14,0.0
1,3,BBL_20,0.0
1,3,OBV,0.0
1,3,PVT,0.0
1,4,close_log,0.0
1,4,return_1d,-0.003081337548792362
1,4,KAMA_10,0.0
1,4,SMA_20,0.0
1,4,HCL3,0.0
1,4,EMA_20,0.0
1,4,HMA_20,0.0
1,4,ATR_14,0.0
1,4,BBL_20,0.0
1,4,OBV,0.0
1,4,PVT,0.0
1,5,close_log,0.0
1,5,return_1d,0.004715682007372379
1,5,KAMA_10,0.0
1,5,SMA_20,0.0
1,5,HCL3,0.0
1,5,EMA_20,0.0
1,5,HMA_20,0.0
1,5,ATR_14,0.0
1,5,BBL_20,0.0
1,5,OBV,0.0
1,5,PVT,0.0
1,6,close_log,0.0
