sample_id,timestep,feature,shap_value
2,4,KAMA_10,0.0
2,4,SMA_20,0.0
2,4,HCL3,0.0
2,4,EMA_20,0.0
2,4,HMA_20,0.0
2,4,ATR_14,0.0
2,4,BBL_20,0.0
2,4,OBV,0.0
2,4,PVT,0.0
2,5,close_log,0.0
2,5,return_1d,0.04308728873729706
2,5,KAMA_10,0.0
2,5,SMA_20,0.0
2,5,HCL3,0.0
2,5,EMA_20,0.0
2,5,HMA_20,0.0
2,5,ATR_14,0.0
2,5,BBL_20,0.0
2,5,OBV,0.0
2,5,PVT,0.0
2,6,close_log,0.0
2,6,return_1d,-0.15924768149852753
2,6,KAMA_10,0.0
2,6,SMA_20,0.0
2,6,HCL3,0.0
2,6,EMA_20,0.0
2,6,HMA_20,0.0
2,6,ATR_14,0.0
2,6,BBL_20,0.0
2,6,OBV,0.0
2,6,PVT,0.0
3,0,close_log,0.0
3,0,return_1d,-0.021203668788075447
3,0,KAMA_10,0.0
3,0,SMA_20,0.0
3,0,HCL3,0.0
3,0,EMA_20,0.0
3,0,HMA_20,0.0
3,0,ATR_14,0.0
3,0,BBL_20,0.0
3,0,OBV,0.0
3,0,PVT,0.0
3,1,close_log,0.0
3,1,return_1d,0.012945398688316345
3,1,KAMA_10,0.0
3,1,SMA_20,0.0
3,1,HCL3,0.0
3,1,EMA_20,0.0
3,1,HMA_20,0.0
3,1,ATR_14,0.0
3,1,BBL_20,0.0
3,1,OBV,0.0
3,1,PVT,0.0
3,2,close_log,0.0
3,2,return_1d,-0.04644245281815529
3,2,KAMA_10,0.0
3,2,SMA_20,0.0
3,2,HCL3,0.0
3,2,EMA_20,0.0
3,2,HMA_20,0.0
3,2,ATR_14,0.0
3,2,BBL_20,0.0
3,2,OBV,0.0
3,2,PVT,0.0
3,3,close_log,0.0
3,3,return_1d,0.14483126997947693
3,3,KAMA_10,0.0
3,3,SMA_20,0.0
3,3,HCL3,0.0
3,3,EMA_20,0.0
3,3,HMA_20,0.0
3,3,ATR_14,0.0
3,3,BBL_20,0.0
3,3,OBV,0.0
3,3,PVT,0.0
3,4,close_log,0.0
3,4,return_1d,0.018484801054000854
3,4,KAMA_10,0.0
3,4,SMA_20,0.0
3,4,HCL3,0.0
3,4,EMA_20,0.0
3,4,HMA_20,0.0
3,4,ATR_14,0.0
3,4,BBL_20,0.0
3,4,OBV,0.0
3,4,PVT,0.0
3,5,close_log,0.0
3,5,return_1d,-0.182484969496727
3,5,KAMA_10,0.0
3,5,SMA_20,0.0
3,5,HCL3,0.0
3,5,EMA_20,0.0
3,5,HMA_20,0.0
3,5,ATR_14,0.0
3,5,BBL_20,0.0
3,5,OBV,0.0
3,5,PVT,0.0
3,6,close_log,0.0
3,6,return_1d,-0.05344134941697121
3,6,KAMA_10,0.0
3,6,SMA_20,0.0
3,6,HCL3,0.0
3,6,EMA_20,0.0
3,6,HMA_20,0.0
3,6,ATR_14,0.0
3,6,BBL_20,0.0
3,6,OBV,0.0
3,6,PVT,0.0
4,0,close_log,0.0
