sample_id,timestep,feature,shap_value
2,4,KAMA_10,0.0
2,4,SMA_20,0.0
2,4,HCL3,0.0
2,4,EMA_20,0.0
2,4,HMA_20,0.0
2,4,ATR_14,0.0
2,4,BBL_20,0.0
2,4,OBV,0.0
2,4,PVT,0.0
2,5,close_log,0.0
2,5,return_1d,0.004334753844887018
2,5,KAMA_10,0.0
2,5,SMA_20,0.0
2,5,HCL3,0.0
2,5,EMA_20,0.0
2,5,HMA_20,0.0
2,5,ATR_14,0.0
2,5,BBL_20,0.0
2,5,OBV,0.0
2,5,PVT,0.0
2,6,close_log,0.0
2,6,return_1d,-0.002667966764420271
2,6,KAMA_10,0.0
2,6,SMA_20,0.0
2,6,HCL3,0.0
2,6,EMA_20,0.0
2,6,HMA_20,0.0
2,6,ATR_14,0.0
2,6,BBL_20,0.0
2,6,OBV,0.0
2,6,PVT,0.0
3,0,close_log,0.0
3,0,return_1d,-0.00234800367616117
3,0,KAMA_10,0.0
3,0,SMA_20,0.0
3,0,HCL3,0.0
3,0,EMA_20,0.0
3,0,HMA_20,0.0
3,0,ATR_14,0.0
3,0,BBL_20,0.0
3,0,OBV,0.0
3,0,PVT,0.0
3,1,close_log,0.0
3,1,return_1d,0.00024578417651355267
3,1,KAMA_10,0.0
3,1,SMA_20,0.0
3,1,HCL3,0.0
3,1,EMA_20,0.0
3,1,HMA_20,0.0
3,1,ATR_14,0.0
3,1,BBL_20,0.0
3,1,OBV,0.0
3,1,PVT,0.0
3,2,close_log,0.0
3,2,return_1d,0.003913451451808214
3,2,KAMA_10,0.0
3,2,SMA_20,0.0
3,2,HCL3,0.0
3,2,EMA_20,0.0
3,2,HMA_20,0.0
3,2,ATR_14,0.0
3,2,BBL_20,0.0
3,2,OBV,0.0
3,2,PVT,0.0
3,3,close_log,0.0
3,3,return_1d,0.026546655222773552
3,3,KAMA_10,0.0
3,3,SMA_20,0.0
3,3,HCL3,0.0
3,3,EMA_20,0.0
3,3,HMA_20,0.0
3,3,ATR_14,0.0
3,3,BBL_20,0.0
3,3,OBV,0.0
3,3,PVT,0.0
3,4,close_log,0.0
3,4,return_1d,-0.017683302983641624
3,4,KAMA_10,0.0
3,4,SMA_20,0.0
3,4,HCL3,0.0
3,4,EMA_20,0.0
3,4,HMA_20,0.0
3,4,ATR_14,0.0
3,4,BBL_20,0.0
3,4,OBV,0.0
3,4,PVT,0.0
3,5,close_log,0.0
3,5,return_1d,-0.018358716741204262
3,5,KAMA_10,0.0
3,5,SMA_20,0.0
3,5,HCL3,0.0
3,5,EMA_20,0.0
3,5,HMA_20,0.0
3,5,ATR_14,0.0
3,5,BBL_20,0.0
3,5,OBV,0.0
3,5,PVT,0.0
3,6,close_log,0.0
3,6,return_1d,-0.0008953334763646126
3,6,KAMA_10,0.0
3,6,SMA_20,0.0
3,6,HCL3,0.0
3,6,EMA_20,0.0
3,6,HMA_20,0.0
3,6,ATR_14,0.0
3,6,BBL_20,0.0
3,6,OBV,0.0
3,6,PVT,0.0
4,0,close_log,0.0
