time,open,high,low,close,volume,daily_return,close_log,return_1d,return_2d,return_3d,return_4d,return_5d,return_6d,return_7d,return_1d_past,return_2d_past,return_3d_past,return_4d_past,return_5d_past,return_6d_past,return_7d_past,return_10d_past,return_20d_past,return_30d_past,return_120d_past,return_480d_past,KAMA_10,SMA_20,HLC3,TEMA_20,EMA_20,HMA_20,FWMA_10,ATR_14,BBL_20,OBV,PVT,KAMA_10_lag1,KAMA_10_lag2,KAMA_10_lag5,KAMA_10_lag10,KAMA_10_lag20,SMA_20_lag1,SMA_20_lag2,SMA_20_lag5,SMA_20_lag10,SMA_20_lag20,HLC3_lag1,HLC3_lag2,HLC3_lag5,HLC3_lag10,HLC3_lag20,EMA_20_lag1,EMA_20_lag2,EMA_20_lag5,EMA_20_lag10,EMA_20_lag20,HMA_20_lag1,HMA_20_lag2,HMA_20_lag5,HMA_20_lag10,HMA_20_lag20,ATR_14_lag1,ATR_14_lag2,ATR_14_lag5,ATR_14_lag10,ATR_14_lag20,BBL_20_lag1,BBL_20_lag2,BBL_20_lag5,BBL_20_lag10,BBL_20_lag20,OBV_lag1,OBV_lag2,OBV_lag5,OBV_lag10,OBV_lag20,PVT_lag1,PVT_lag2,PVT_lag5,PVT_lag10,PVT_lag20,TEMA_20_lag1,TEMA_20_lag2,TEMA_20_lag5,TEMA_20_lag10,TEMA_20_lag20,FWMA_10_lag1,FWMA_10_lag2,FWMA_10_lag5,FWMA_10_lag10,FWMA_10_lag20,gold_return
2016-12-06,10801.7,10837.78,10521.48,10618.74,7867730.0,-0.018647902318927434,9.27037564368937,0.0004669896763405319,0.018187935519053757,0.01553035183607598,0.004311356014022017,-0.009906955649446747,0.013882253735284414,0.017116491974980632,-0.018823966706022318,-0.0311956902928217,-0.028605443849810296,-0.02524110102665574,-0.026080037260720113,-0.03961999994677444,-0.05337019636023057,-0.06558188580766565,-0.0696745781095191,-0.08934978483450352,-0.11080057613767579,0.13464891015609765,11062.86454546676,11103.764,10659.333333333334,10801.883731011181,11082.702224638906,10865.55496969697,10796.307552447553,205.5517794971868,10691.714701855943,201073400.0,18925823.46661982,11231.051351825527,11277.417278039367,11313.112613778574,11343.097131093193,11433.287273244272,11142.076000000001,11169.996,11215.876,11296.362,11568.869,10842.300000000001,10942.726666666667,10925.686666666668,11271.679999999998,11389.066666666666,11131.540353548264,11164.279338132292,11247.634744196406,11317.821126411864,11528.106445467463,10946.462137662336,11003.72850822511,11166.55711688312,11106.713096969694,11227.666004329003,188.51359172752305,190.6910673779111,205.26747036888915,198.55613111848376,207.1433073261493,10780.513619656085,10827.23285425653,10946.332095918811,10994.472991214941,11145.096535834115,208941130.0,215122890.0,211762060.0,225883910.0,225272090.0,19072540.127131514,19148548.009401336,19118207.04144734,19342360.193381883,19318001.333426397,10894.344921839858,10945.663188783457,11066.464916395198,11114.276826860805,11278.471042729241,10908.916783216784,10964.924755244756,11067.638741258743,11213.072727272727,11343.890069930068,0.023789209384731145
2016-12-07,10616.74,10745.220000000001,10567.439999999999,10623.7,7020010.0,0.00046709873299488613,9.27084263336571,0.01772094584271315,0.015063362159735553,0.0038443663376815738,-0.010373945325787157,0.01341526405894396,0.016649502298640213,0.018090780641725736,0.0004669896763405319,-0.018356977029681868,-0.030728700616481194,-0.02813845417346985,-0.024774111350315316,-0.025613047584379753,-0.039153010270433955,-0.06921637189707826,-0.05999353584411983,-0.07726290614829215,-0.11460668025205234,0.10039552065124946,10918.60250901217,11070.920999999998,10645.453333333333,10729.628325330956,11038.987727054247,10775.430734199135,10728.223776223776,201.84887556422888,10615.749932105324,208093410.0,18929102.50439643,11062.86454546676,11231.051351825527,11290.513772794107,11343.916372189355,11426.080517757942,11103.764,11142.076000000001,11197.467,11291.763,11542.605,10659.333333333334,10842.300000000001,10854.58,11388.546666666667,11190.086666666664,11082.702224638906,11131.540353548264,11213.59143522532,11324.226733420257,11504.53059351818,10865.55496969697,10946.462137662336,11112.139646753249,11138.737832900431,11219.952087445887,205.5517794971868,188.51359172752305,211.5304743197039,190.28998030268588,244.97753301599604,10691.714701855943,10780.513619656085,10892.214293431609,10998.793906957993,11115.573483278285,201073400.0,208941130.0,202680390.0,234074420.0,218719400.0,18925823.46661982,19072540.127131514,19110591.29442826,19376022.35674064,19257901.80845578,10801.883731011181,10894.344921839858,11006.138472550829,11167.459653224567,11254.445597087415,10796.307552447553,10908.916783216784,10999.07076923077,11279.20951048951,11319.055244755245,0.0032342382396961145
2016-12-08,10641.720000000001,10927.960000000001,10582.619999999999,10813.64,6489840.0,0.017878893417547337,9.288563579208423,-0.0026575836829778217,-0.0138765795050316,-0.028094891168500412,-0.004305681783769235,-0.001071443544072991,0.0003698347990126416,0.009172096048258789,0.01772094584271315,0.018187935519053757,-0.0006360311869686429,-0.013007754773768032,-0.010417508330756676,-0.0070531655076021375,-0.007892101741666503,-0.04275471932066265,-0.05145853498753258,-0.061919532195734615,-0.0928536981035706,0.1119082306277235,10905.658316035924,11042.369999999999,10774.74,10722.191929419774,11017.526038763366,10710.580240692641,10759.513286713285,220.98102548899863,10598.566702936798,214583250.0,19045133.662053365,10918.60250901217,11062.86454546676,11282.007428224255,11342.846651140908,11425.15886702688,11070.920999999998,11103.764,11183.944,11280.844000000001,11523.975999999999,10645.453333333333,10659.333333333334,10931.246666666668,11290.906666666668,11384.559999999998,11038.987727054247,11082.702224638906,11186.28558425148,11320.586092142137,11493.11434651645,10775.430734199135,10865.55496969697,11054.525726406928,11175.471897835498,11226.667164502162,201.84887556422888,205.5517794971868,197.90507774374342,192.94998292899442,233.74586194719632,10615.749932105324,10691.714701855943,10855.579264256407,11005.49180169474,11103.918798561954,208093410.0,201073400.0,210003630.0,230075190.0,223711810.0,18929102.50439643,18925823.46661982,19135270.676036276,19341218.586508017,19303973.092239562,10729.628325330956,10801.883731011181,10967.876663523584,11186.771186269889,11263.853508926457,10728.223776223776,10796.307552447553,10970.998881118881,11281.566433566433,11344.05916083916,0.0014412783430855886
2016-12-09,10790.039999999999,10869.380000000001,10707.119999999999,10784.939999999999,4209360.0,-0.0026540554336931255,9.285905995525445,-0.011218995822053853,-0.025437307485522635,-0.0016480981007914162,0.0015861401389046417,0.0030274184819903097,0.011829679731236605,0.008540203080837647,-0.0026575836829778217,0.015063362159735553,0.01553035183607598,-0.0032936148699463847,-0.015665338456745802,-0.013075092013734342,-0.00971074919057989,-0.03783984452415466,-0.046733421790093696,-0.07100612286656541,-0.10964342708564886,0.09736961223375548,10892.340690415727,11016.571,10787.146666666666,10711.16334281704,10995.37498745257,10671.540975757578,10768.00881118881,213.15155542379907,10576.074432075071,210373890.0,19033961.787272993,10905.658316035924,10918.60250901217,11277.417278039367,11340.189628299659,11416.846064214804,11042.369999999999,11070.920999999998,11169.996,11261.958,11500.72,10774.74,10645.453333333333,10942.726666666667,11217.44,11336.5,11017.526038763366,11038.987727054247,11164.279338132292,11309.18360717622,11474.810123038691,10710.580240692641,10775.430734199135,11003.72850822511,11201.709713419914,11232.007208658008,220.98102548899863,201.84887556422888,190.6910673779111,189.50331853846188,230.68908035423703,10598.566702936798,10615.749932105324,10827.23285425653,11023.208383557292,11085.61813105701,214583250.0,208093410.0,215122890.0,225891020.0,220373930.0,19045133.662053365,18929102.50439643,19148548.009401336,19309653.795279946,19279421.276796676,10722.191929419774,10729.628325330956,10945.663188783457,11181.680830517027,11251.82113393857,10759.513286713285,10728.223776223776,10964.924755244756,11250.206993006994,11326.611188811188,0.008802261249246268
2016-12-12,10646.36,10782.02,10564.84,10664.62,6392310.0,-0.011156297577918695,9.274686999703391,-0.014218311663468835,0.00957089772126246,0.012805135960958489,0.014246414304044162,0.02304867555329025,0.019759198902891486,0.01884128245344933,-0.011218995822053853,-0.0138765795050316,0.0038443663376815738,0.004311356014022017,-0.014512610692000194,-0.02688433427879951,-0.024294087835788153,-0.035308643932752314,-0.043470468065297974,-0.07166393920349211,-0.09920826497533496,0.03866718514059445,10869.014112161327,10992.880000000001,10670.493333333334,10673.324442397483,10963.874512457087,10644.170658874458,10727.259020979021,214.07801470062566,10529.603565800973,203981580.0,18962647.274702687,10892.340690415727,10905.658316035924,11231.051351825527,11335.198519292697,11395.462224597413,11016.571,11042.369999999999,11142.076000000001,11241.506,11474.189999999999,10787.146666666666,10774.74,10842.300000000001,11066.206666666667,11188.213333333333,10995.37498745257,11017.526038763366,11131.540353548264,11284.299454111819,11442.774873225482,10671.540975757578,10710.580240692641,10946.462137662336,11201.294326406927,11221.406856277059,213.15155542379907,220.98102548899863,188.51359172752305,192.18554273333373,228.65053630700538,10576.074432075071,10598.566702936798,10780.513619656085,11003.004664737351,11037.140376032092,210373890.0,214583250.0,208941130.0,218993340.0,215766790.0,19033961.787272993,19045133.662053365,19072540.127131514,19215458.426995724,19213181.704514064,10711.16334281704,10722.191929419774,10894.344921839858,11138.90399620319,11201.701876765148,10768.00881118881,10759.513286713285,10908.916783216784,11172.688951048951,11253.933986013984,-0.0032894766503989803
2016-12-13,10658.26,10668.26,10435.14,10514.060000000001,7855250.0,-0.01411770883538277,9.260468688039923,0.023789209384731145,0.027023447624427453,0.028464725967513007,0.037266987216759216,0.03397751056636016,0.03305959411691825,0.02619177896957222,-0.014218311663468835,-0.025437307485522635,-0.028094891168500412,-0.010373945325787157,-0.009906955649446747,-0.028730922355469014,-0.04110264594226839,-0.035986992910166854,-0.05912421586329069,-0.08194501410415808,-0.10551895759380074,0.0005575042979946025,10832.481895207775,10960.861,10539.153333333334,10605.676277588565,10921.035035080222,10608.325614718615,10644.781818181818,216.61694607387568,10457.79008517475,196126330.0,18851749.142373547,10869.014112161327,10892.340690415727,11062.86454546676,11313.112613778574,11381.332910728757,10992.880000000001,11016.571,11103.764,11215.876,11448.595,10670.493333333334,10787.146666666666,10659.333333333334,10925.686666666668,11159.853333333333,10963.874512457087,10995.37498745257,11082.702224638906,11247.634744196406,11415.314409108769,10644.170658874458,10671.540975757578,10865.55496969697,11166.55711688312,11204.707225974027,214.07801470062566,213.15155542379907,205.5517794971868,205.26747036888915,221.93979813273796,10529.603565800973,10576.074432075071,10691.714701855943,10946.332095918811,10999.145012125973,203981580.0,210373890.0,201073400.0,211762060.0,219037240.0,18962647.274702687,19033961.787272993,18925823.46661982,19118207.04144734,19217879.597576287,10673.324442397483,10711.16334281704,10801.883731011181,11066.464916395198,11166.748131390477,10727.259020979021,10768.00881118881,10796.307552447553,11067.638741258743,11215.043776223776,-0.0009179164494419672
2016-12-14,10466.2,10793.52,10456.78,10767.18,10327410.0,0.024074429858684354,9.284257897424654,0.0032342382396961145,0.00467551658278179,0.013477777832028089,0.010188301181628983,0.009270384732187175,0.002402569584841237,0.015133104184709903,0.023789209384731145,0.00957089772126246,-0.0016480981007914162,-0.004305681783769235,0.01341526405894396,0.013882253735284414,-0.0049417129707379015,-0.011358847291371292,-0.035546559042092724,-0.044608345348671474,-0.082130210971385,0.011299597469765622,10831.395722243862,10941.380000000001,10672.493333333334,10618.45976079041,10906.38217459639,10592.170889177489,10691.196923076925,232.63335326402554,10440.084480224166,206453740.0,19100375.65004042,10832.481895207775,10869.014112161327,10918.60250901217,11290.513772794107,11376.331602644825,10960.861,10992.880000000001,11070.920999999998,11197.467,11412.658,10539.153333333334,10670.493333333334,10645.453333333333,10854.58,11154.973333333333,10921.035035080222,10963.874512457087,11038.987727054247,11213.59143522532,11390.693989193647,10608.325614718615,10644.170658874458,10775.430734199135,11112.139646753249,11185.9008,216.61694607387568,214.07801470062566,201.84887556422888,211.5304743197039,208.8544917150397,10457.79008517475,10529.603565800973,10615.749932105324,10892.214293431609,10992.994459399395,196126330.0,203981580.0,208093410.0,202680390.0,221639080.0,18851749.142373547,18962647.274702687,18929102.50439643,19110591.29442826,19218430.081724305,10605.676277588565,10673.324442397483,10729.628325330956,11006.138472550829,11140.776524476538,10644.781818181818,10727.259020979021,10728.223776223776,10999.07076923077,11192.43734265734,-0.0068678151473458675
2016-12-15,10730.539999999999,10977.220000000001,10611.0,10802.060000000001,8613070.0,0.0032394740312691184,9.28749213566435,0.0014412783430855886,0.010243539592331726,0.006954062941932979,0.006036146492490789,-0.0008316686548550949,0.01189886594501382,0.01827840891673403,0.0032342382396961145,0.027023447624427453,0.012805135960958489,0.0015861401389046417,-0.001071443544072991,0.016649502298640213,0.017116491974980632,-0.011488951874829635,-0.023549313626888616,-0.03593939341124496,-0.09322878216313653,0.01753659237196554,10830.899743857493,10928.51,10796.76,10640.462267162959,10896.446729396735,10596.7685012987,10733.320139860141,250.44490616215563,10426.762290446623,215066810.0,19128277.466634925,10831.395722243862,10832.481895207775,10905.658316035924,11282.007428224255,11366.734072586038,10941.380000000001,10960.861,11042.369999999999,11183.944,11374.369999999999,10672.493333333334,10539.153333333334,10774.74,10931.246666666668,11080.606666666667,10906.38217459639,10921.035035080222,11017.526038763366,11186.28558425148,11359.14789498473,10592.170889177489,10608.325614718615,10710.580240692641,11054.525726406928,11158.116996536797,232.63335326402554,216.61694607387568,220.98102548899863,197.90507774374342,201.83389281970094,10440.084480224166,10457.79008517475,10598.566702936798,10855.579264256407,10973.901834710312,206453740.0,196126330.0,214583250.0,210003630.0,217097310.0,19100375.65004042,18851749.142373547,19045133.662053365,19135270.676036276,19178804.39229723,10618.45976079041,10605.676277588565,10722.191929419774,10967.876663523584,11096.334291791969,10691.196923076925,10644.781818181818,10759.513286713285,10970.998881118881,11141.257762237761,0.01273053459986874
2016-12-16,10743.76,10853.880000000001,10688.7,10817.64,26521340.0,0.0014423174838871233,9.288933414007435,0.008802261249246268,0.005512784598847172,0.004594868149405186,-0.002272946997940632,0.010457587601928074,0.016837130573648412,0.019435258515435337,0.0014412783430855886,0.00467551658278179,0.028464725967513007,0.014246414304044162,0.0030274184819903097,0.0003698347990126416,0.018090780641725736,-0.012637919974755392,-0.020046135959248597,-0.03778278174454425,-0.08787009882824415,0.02529306238399219,10830.648920836935,10917.558,10786.74,10664.754650469591,10888.941326597045,10620.864298701297,10765.056223776224,239.0762520072016,10416.189638493259,241588150.0,19166529.65901304,10830.899743857493,10831.395722243862,10892.340690415727,11277.417278039367,11350.120464503982,10928.51,10941.380000000001,11016.571,11169.996,11336.373,10796.76,10672.493333333334,10787.146666666666,10942.726666666667,11037.533333333333,10896.446729396735,10906.38217459639,10995.37498745257,11164.279338132292,11328.436666890946,10596.7685012987,10592.170889177489,10671.540975757578,11003.72850822511,11123.524568831166,250.44490616215563,232.63335326402554,213.15155542379907,190.6910673779111,189.69070711040752,10426.762290446623,10440.084480224166,10576.074432075071,10827.23285425653,10961.18347522764,215066810.0,206453740.0,210373890.0,215122890.0,213288000.0,19128277.466634925,19100375.65004042,19033961.787272993,19148548.009401336,19170958.070523836,10640.462267162959,10618.45976079041,10711.16334281704,10945.663188783457,11056.170671613436,10733.320139860141,10691.196923076925,10768.00881118881,10964.924755244756,11100.913846153846,0.006379542971720151
2016-12-19,10834.58,11016.16,10815.539999999999,10913.28,8230000.0,0.008841115067611982,9.297735675256682,-0.0032894766503989803,-0.004207393099840898,-0.011075208247186824,0.0016553263526818856,0.008034869324402127,0.010632997266189118,0.013817422176440086,0.008802261249246268,0.010243539592331726,0.013477777832028089,0.037266987216759216,0.02304867555329025,0.011829679731236605,0.009172096048258789,0.008536064861290152,-0.025410030816433133,-0.04178212458084202,-0.08143904193191179,0.04324254192781341,10831.75130408879,10903.515000000001,10914.993333333332,10711.417981430559,10891.259295492566,10669.34586147186,10821.726433566433,233.94875173957485,10419.325999777157,249818150.0,19239292.036019485,10830.648920836935,10830.899743857493,10869.014112161327,11231.051351825527,11343.139898271012,10917.558,10928.51,10992.880000000001,11142.076000000001,11309.998000000001,10786.74,10796.76,10670.493333333334,10842.300000000001,11159.606666666667,10888.941326597045,10896.446729396735,10963.874512457087,11131.540353548264,11315.646508139427,10620.864298701297,10596.7685012987,10644.170658874458,10946.462137662336,11101.422926406925,239.0762520072016,250.44490616215563,214.07801470062566,188.51359172752305,192.11861282901978,10416.189638493259,10426.762290446623,10529.603565800973,10780.513619656085,10977.058664568069,241588150.0,215066810.0,203981580.0,208941130.0,219835090.0,19166529.65901304,19128277.466634925,18962647.274702687,19072540.127131514,19264365.21754631,10664.754650469591,10640.462267162959,10673.324442397483,10894.344921839858,11066.350436832605,10765.056223776224,10733.320139860141,10727.259020979021,10908.916783216784,11136.204335664335,0.00259812794178691
