return_1d_past,return_2d_past,return_3d_past,return_4d_past,return_5d_past,return_6d_past,return_7d_past,return_10d_past,return_20d_past,return_30d_past,return_120d_past,return_480d_past,KAMA_10,SMA_20,HLC3,TEMA_20,EMA_20,HMA_20,FWMA_10,ATR_14,BBL_20,OBV,PVT,gold_return,sample_index
0.0039960244,-0.018403431,0.11141041,-0.051914603,-0.050578304,-0.08126638,-0.008971012,0.0129660405,0.04536262,-0.21243404,0.035971425,-0.059004374,0.19375175,0.0035083157,0.020134993,0.022784397,0.023309248,0.0056428206,0.041293874,0.023217626,0.02406916,0.07123639,0.053165324,-0.08213016,0
0.09633394,0.038669497,0.15059839,0.05186941,-0.018852327,0.028684417,0.01313867,0.0640176,-0.007640319,-0.13647069,0.0418562,-0.0308196,0.18758596,0.014747662,0.019679833,0.0031730018,0.027094226,0.0103643695,0.04408561,0.020135196,0.02606365,0.0930657,0.055437192,0.07123769,1
-0.1205745,-0.04133417,-0.006690108,0.0070241597,-0.009361877,0.00014418011,-0.04195344,-0.008443811,-0.05185541,-0.0907594,0.023753198,-0.037191197,0.09959711,0.0021399546,0.011837853,-0.010813904,0.012609853,-0.00064271386,0.023234248,0.0005782771,-0.014559179,0.03155148,0.043991126,0.009057893,2
-0.07553571,-0.043566663,-0.055972293,0.021635989,-0.023532657,-0.008116628,-0.035808645,-0.050542533,-0.037728414,-0.2027733,0.0032378584,-0.07585992,0.10145317,0.0062682233,0.009442219,-0.011356293,0.016097879,-0.0011217484,0.025372842,-0.013923106,-0.0017656663,0.031790975,0.044304494,-0.058130495,3
0.015225884,-0.011168786,-0.066730686,-0.004367655,-0.013925203,0.002250401,-0.05140002,-0.06587537,-0.03791447,-0.20820598,0.03708266,-0.09860555,0.109990545,0.005626442,0.010600306,-0.0152953565,0.015257437,-0.0017319871,0.02039833,-0.020949366,-0.0075720893,0.0126298405,0.03629445,0.027212357,4
0.06840566,0.06207321,0.17317064,0.05256197,0.028017722,0.043164145,0.013061376,-0.018590454,-0.0040991534,-0.15827575,0.09492903,0.0061281733,0.1878301,0.013187289,0.02399735,0.036360204,0.02078361,0.010198205,0.047126386,0.045272406,0.024086928,0.069864005,0.06526214,0.06283291,5
-0.085976265,-0.04650634,0.039439652,0.03168233,-0.008299077,0.048561394,-0.031241579,0.029835558,0.0062325774,-0.05186388,0.032185733,-0.008429512,0.10895543,0.008623762,0.01854291,-0.006578028,0.010583926,-0.0025358803,0.027115064,0.015412237,-0.02739425,0.038235195,0.046797257,-0.030504787,6
-0.007673986,-0.043327626,-0.03552832,0.008949834,0.016491083,0.04983074,-0.06841348,0.015991,-0.010656941,-0.084885135,0.030495048,-0.074216165,0.09293811,0.005860212,0.016148508,-0.005807451,0.012144911,0.0041670953,0.026187753,0.01116433,-0.020345598,0.05243948,0.051711522,-0.0056830146,7
0.02628332,0.002054173,-0.06213647,-0.0010267245,0.007645289,0.017170262,-0.043454137,0.016829167,-0.007988777,-0.08870086,0.035758577,-0.040080715,0.12070777,0.010530607,0.017129932,-0.0061009177,0.017834922,0.003756039,0.028313594,0.03660178,-0.013839836,0.067677744,0.04758212,0.03266881,8
-0.0038349873,-0.044526767,-0.044417676,-0.07404344,-0.028887952,-0.011727618,-0.0747645,0.034145992,-0.008591629,-0.07699877,0.019481221,-0.08731098,0.09436981,0.004099486,0.014107821,-0.008918341,0.015926395,-0.0015158161,0.024452614,-0.0014186776,-0.01532296,0.04475201,0.044344008,0.011410277,9
-0.06006043,-0.037169717,-0.03286693,-0.029377807,0.0042178165,0.040825628,-0.06269356,0.048531555,-0.010739062,-0.09017564,0.013097697,-0.0857226,0.07392668,0.005685427,0.01445978,-0.0113278795,0.012621925,-0.003650825,0.021711623,-0.003167936,-0.022642294,0.04537837,0.049409457,0.02907875,10
-0.013736882,-0.014198182,-0.035147168,-0.01624442,-0.01864002,0.00416616,-0.005305442,0.040697884,-0.046509232,-0.104886025,0.0047825514,-0.10695719,0.09894054,0.0028046786,0.0147700645,-0.016584154,0.013725736,0.0005462984,0.021461077,-0.014078545,-0.02962553,0.034880623,0.047123373,-0.00096256944,11
0.074167624,0.03569703,0.004883511,0.031304006,0.012472399,0.023276124,0.07228698,0.024824353,-0.029987788,-0.08702162,0.034447383,-0.047520243,0.14365016,0.0126314275,0.022239273,-0.004126959,0.017119767,0.010761935,0.03416242,0.04663806,-0.006644073,0.06555312,0.051330056,0.03593149,12
0.03691231,-0.0035793728,-0.010957258,0.032038655,0.011861027,0.010481795,-0.0648091,0.071390495,-0.007621001,-0.07942869,0.004548743,-0.09510845,0.112177536,0.0131052,0.0154583445,0.008606137,0.018327147,0.008908455,0.02784396,0.03818577,-0.006765381,0.059712246,0.06153794,-0.06903043,13
-0.00542266,-0.0488125,-0.0155465305,-0.0066346666,-0.011032026,-0.0016480532,0.04025732,-0.021592665,-0.02852855,-0.031119155,0.06652483,-0.056707073,0.113198474,0.00683957,0.018100979,-0.0056230226,0.014692392,0.0024597105,0.029895298,0.00219894,-0.020103447,0.054033294,0.05079813,0.028859045,14
-0.0056809974,-0.037127163,-0.032365758,-0.01985475,-0.01510862,0.05116885,-0.09376455,0.054122563,-0.034259144,-0.030400565,0.045920808,-0.07712595,0.1017956,0.008346976,0.010537755,0.0015061056,0.012927398,0.0027101678,0.030820146,0.0100909015,-0.024338972,0.047268465,0.05539012,-0.047346484,15
0.009509396,-0.0039492906,-0.013989715,-0.018206745,-0.031341285,0.04910685,-0.08490174,0.055759262,-0.03082237,0.0040312787,0.049602892,-0.016944364,0.15579124,0.010647736,0.018051444,0.012404575,0.015577972,0.0081291385,0.029765962,0.036956493,-0.019646272,0.05367125,0.059663706,-0.043304514,16
0.037991084,0.03173309,0.012112229,0.0026026503,0.001512696,0.032689866,0.08170435,0.07468636,-0.011950116,0.09226627,0.11152297,0.014633563,0.2392441,0.018112537,0.03382482,0.015921593,0.019249927,0.017305894,0.045978464,0.056591377,-0.016798813,0.07279102,0.06677244,0.07226471,17
-0.01093561,-0.039046124,-0.042787466,-0.067203015,-0.006940173,0.017717406,0.02768598,-0.01598801,0.018303853,0.044380784,0.04980681,-0.07861857,0.118331656,0.0055980817,0.022388274,-0.005141056,0.010282878,-0.0032202655,0.033025287,-0.128647,-0.06158391,0.062751934,0.039813522,-0.038525276,18
-0.039776143,-0.010722332,-0.058342002,-0.009530017,0.020894652,0.033759687,0.08131379,-0.021300755,0.0062520728,0.002266009,0.08286848,-0.07073623,0.16322821,0.012769791,0.019814054,0.0043094326,0.014565039,0.012060289,0.025893014,-0.031487092,-0.029507058,0.07882052,0.058023628,-0.031074814,19
0.022437925,0.007282087,-0.04536561,-0.0290367,0.010022454,0.03636256,0.09352661,-0.004136918,0.030944247,0.08371933,0.087864,-0.02861434,0.22483717,0.009680235,0.027868196,0.002341575,0.021277977,0.018378584,0.03895352,-0.037961293,-0.042076338,0.07928936,0.049981378,0.026782144,20
-0.080947295,-0.00038706514,0.057375316,0.0048934114,-0.0008299628,0.098269865,0.057320863,-0.00951492,0.03787791,0.06834951,0.08087581,-0.048373636,0.18718585,0.009857435,0.02875474,-0.0025781658,0.015907204,0.006847716,0.048415184,0.003960693,-0.04242563,0.08596588,0.047091108,0.028424751,21
-0.15652145,0.01433813,-0.10145679,-0.044511538,-0.022020202,-0.03659769,0.0031134665,-0.096097074,-0.00037121403,0.009669727,-0.008714538,-0.021609854,0.13302155,0.003141358,0.016416233,0.00046643108,0.010946706,0.0017302819,0.02957123,-0.044272117,-0.055123072,0.047098063,0.037662156,-0.012706711,22
0.062206104,0.104658194,-0.035888862,0.014781098,0.044534296,0.03193733,0.06792553,-0.08793404,0.009968882,0.093741015,-0.038409773,-0.030335052,0.16537648,0.0215936,0.023600277,0.013798276,0.013219146,0.018424295,0.029918797,0.01128435,-0.04107371,0.09980559,0.07621038,-0.20558415,23
-0.04892401,-0.023957672,-0.05334215,-0.016434588,-0.0155276675,0.069573455,0.0035348753,-0.11839917,-0.028433992,0.01880807,-0.078764446,-0.029291589,0.123396955,-0.0019775967,0.012157288,-0.008625106,0.0128707485,0.005235598,0.026520366,-0.08366399,-0.05294515,0.03236899,0.041000888,-0.0064423895,24
-0.091054864,-0.054763943,-0.012535143,-0.056348905,0.0058641043,0.031579386,0.07896661,-0.14368588,-0.028890507,-0.0051549543,-0.06417772,-0.046995018,0.09058451,0.0010564182,0.0103118075,-0.008244108,0.015946975,-0.0069935434,0.028391663,-0.08747495,-0.05651841,0.020013275,0.04792279,-0.014672127,25
-0.04530569,-0.0057404498,-0.085952215,0.007480418,-0.043587897,-0.039902907,0.07066652,-0.049853977,-0.033767875,-0.0030666501,0.005910406,-0.062551446,0.12463872,0.012108522,0.021555457,-0.004721999,0.014507956,0.006506865,0.046529356,-0.0729296,-0.051341847,0.045546196,0.048390206,0.005407958,26
0.05826457,0.05815128,0.22520305,0.07897414,0.07000286,0.048801754,0.13930942,0.046455815,0.05165367,0.09102073,0.16081592,0.001542195,0.27878463,0.023700451,0.029990342,0.0042463364,0.024536673,0.027381964,0.059609797,-0.0076259766,-0.0076729325,0.117840916,0.069855064,0.07976536,27
0.014000854,0.052175324,-0.04818848,0.0006439553,-0.0041419226,0.032538287,-0.08822117,-0.047515783,-0.0034688332,0.05953369,-0.021631915,-0.09688454,0.08501418,0.005153128,0.015979446,0.0031082286,0.013721074,0.0027582913,0.025707679,-0.029419314,-0.038761318,0.055656683,0.04836269,-0.030379022,28
0.043748874,0.0011203233,-0.073639676,-0.04671207,-0.0210126,-0.0063337046,0.062109277,-0.03154111,-0.021592135,0.06886626,-0.011800752,-0.06773617,0.11593309,0.013487226,0.020735078,-0.0016807315,0.020350004,0.011369,0.028381959,-0.030933665,-0.037105024,0.032346167,0.045947865,-0.017111933,29
0.016965266,-0.020013832,-0.039215483,-0.038781684,0.023931604,0.0649595,-0.082909845,-0.018911958,-0.029998679,0.06823074,-0.011802769,-0.060666524,0.1519462,0.016405368,0.01145423,0.0006415738,0.01850122,0.016115308,0.049266122,-0.034971222,-0.040908165,0.027783593,0.040109675,0.04756838,30
0.012417126,-0.02130261,-0.019491274,0.05971313,0.015703354,0.045487564,0.051131748,0.0725145,0.023631325,0.08834872,-0.02379101,-0.055365115,0.1418389,0.01244575,0.019801298,-0.004997368,0.014790614,0.009440899,0.041210145,-0.037576504,-0.042418767,0.028059684,0.04047171,0.007272599,31
-0.08503078,-0.0040748455,-0.028287997,0.009919846,0.0038472756,0.14882219,0.07235139,0.0029122257,0.03478394,0.05019019,-0.037943568,-0.042166434,0.14243142,0.009681379,0.0125833545,-0.0016917841,0.016482444,-0.00087528245,0.013156284,-0.046195038,-0.044307865,0.034142382,0.04296439,0.013634999,32
